User_id,Mf_id,Name,Plan,Category,Num_times_searched,Num_times_clicked,Time_spent,Added_watchlist,Purchased,watchlist_dummy_generator,purchased_dummy_ generator
1,21,Axis Long Term Equity Fund - GrowthELSS,Regular,ELSS,10,10,34,0,0,8,5
1,280,Taurus Taxshield - Direct Plan - GrowthELSS,Direct Plan,ELSS,13,5,145,0,0,18,9
1,112,ICICI Prudential Bluechip Fund - Direct Plan - GrowthLarge Cap Fund,Direct Plan,Large Cap Fund,10,10,37,1,0,3,14
1,74,Edelweiss Long Term Equity Fund (Tax Savings) - Direct Plan - GrowthELSS,Direct Plan,ELSS,11,4,8,0,0,18,5
1,73,Edelweiss Large Cap Fund - GrowthLarge Cap Fund,Regular,Large Cap Fund,10,6,142,0,0,14,14
1,231,Principal Personal Tax SaverELSS,Regular,ELSS,14,2,36,0,0,7,7
1,20,Axis Long Term Equity Fund - Direct Plan - GrowthELSS,Direct Plan,ELSS,15,10,143,0,0,8,5
1,190,LIC MF Large Cap Fund - GrowthLarge Cap Fund,Regular,Large Cap Fund,9,10,192,1,0,3,7
1,21,Axis Long Term Equity Fund - GrowthELSS,Regular,ELSS,7,10,293,1,0,3,10
1,20,Axis Long Term Equity Fund - Direct Plan - GrowthELSS,Direct Plan,ELSS,19,10,49,0,0,12,4
1,272,Tata Large Cap Fund - Regular Plan - GrowthLarge Cap Fund,Regular,Large Cap Fund,12,2,277,1,0,1,13
1,56,Canara Robeco Short Duration Fund - Direct Plan - GrowthShort Duration Fund,Direct Plan,Short Duration Fund,11,8,2,1,0,2,11
1,5,Aditya Birla Sun Life India GenNext Fund - Regular Plan - GrowthSectoral/Thematic,Regular,Sectoral/Thematic,6,5,80,0,0,8,5
1,207,Motilal Oswal Midcap 30 Fund - GrowthMid Cap Fund,Regular,Mid Cap Fund,14,0,153,0,0,18,8
1,206,Motilal Oswal Midcap 30 Fund - Direct Plan - GrowthMid Cap Fund,Direct Plan,Mid Cap Fund,10,3,125,0,0,6,13
1,205,Motilal Oswal Long Term Equity Fund - GrowthELSS,Regular,ELSS,4,3,89,0,0,17,11
1,139,IDFC Tax Advantage (ELSS) Fund - Direct Plan - GrowthELSS,Direct Plan,ELSS,16,9,69,0,0,13,15
1,139,IDFC Tax Advantage (ELSS) Fund - Direct Plan - GrowthELSS,Direct Plan,ELSS,15,10,224,0,0,20,15
1,300,UTI Short Term Income Fund - Institutional - GrowthShort Duration Fund,Regular,Short Duration Fund,2,8,198,0,0,18,2
1,95,Franklin India Taxshield Fund - GrowthELSS,Regular,ELSS,1,2,221,0,0,7,14
1,84,Franklin India Bluechip Fund - Direct - GrowthLarge Cap Fund,Direct Plan,Large Cap Fund,2,10,299,0,0,10,9
1,293,UTI Mastershare Unit Scheme - Direct Plan - GrowthLarge Cap Fund,Direct Plan,Large Cap Fund,16,1,46,0,0,14,11
1,102,HDFC Tax Saver Fund - Direct Plan - GrowthELSS,Direct Plan,ELSS,8,1,81,0,0,4,7
1,212,Nippon India Multicap Fund - Direct Plan - GrowthMulti Cap Fund,Direct Plan,Multi Cap Fund,14,0,137,0,0,7,3
1,220,Nippon India Tax Saver Fund - Direct Plan - GrowthELSS,Direct Plan,ELSS,8,8,238,0,0,16,11
1,25,Axis Short Term Fund - GrowthShort Duration Fund,Regular,Short Duration Fund,18,11,117,0,0,17,4
1,17,Aditya Birla Sun Life Tax Relief 96 - Regular Plan - GrowthELSS,Regular,ELSS,12,10,158,0,0,6,10
1,133,IDFC Bond Fund - Short Term - Direct Plan - GrowthShort Duration Fund,Direct Plan,Short Duration Fund,4,6,68,0,1,20,1
1,243,SBI Blue Chip Fund - Regular Plan - GrowthLarge Cap Fund,Regular,Large Cap Fund,3,1,102,0,0,20,4
2,46,BOI AXA Manufacturing & Infrastructure Fund - Direct Plan - GrowthSectoral/Thematic,Direct Plan,Sectoral/Thematic,1,9,27,1,0,1,15
2,277,Taurus Discovery (Midcap) Fund - Direct Plan - GrowthMid Cap Fund,Direct Plan,Mid Cap Fund,5,1,83,0,0,13,6
2,255,SBI Short Term Debt Fund - Direct Plan - GrowthShort Duration Fund,Direct Plan,Short Duration Fund,18,7,298,0,0,17,14
2,232,Principal Short Term Debt Fund - Direct Plan - GrowthShort Duration Fund,Direct Plan,Short Duration Fund,10,1,114,0,0,8,3
2,107,HSBC Short Duration Fund - Direct Plan - GrowthShort Duration Fund,Direct Plan,Short Duration Fund,6,3,186,0,0,10,2
2,130,IDBI Midcap Fund - GrowthMid Cap Fund,Regular,Mid Cap Fund,11,8,97,1,0,1,10
2,288,UTI India Consumer Fund - GrowthSectoral/Thematic,Regular,Sectoral/Thematic,10,10,200,0,0,13,6
2,166,Kotak Infrastructure and Economic Reform Fund - Direct Plan - GrowthSectoral/Thematic,Direct Plan,Sectoral/Thematic,3,2,108,0,0,8,11
2,127,IDBI India Top 100 Equity Fund - Direct Plan - GrowthLarge Cap Fund,Direct Plan,Large Cap Fund,11,10,92,0,0,4,8
2,190,LIC MF Large Cap Fund - GrowthLarge Cap Fund,Regular,Large Cap Fund,17,9,14,0,0,9,10
2,7,Aditya Birla Sun Life Infrastructure Fund - Regular Plan - GrowthSectoral/Thematic,Regular,Sectoral/Thematic,7,0,106,0,0,19,4
2,235,Principal Tax Saving FundELSS,Regular,ELSS,1,2,153,0,0,18,15
2,176,L&T India Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,Direct Plan,Large Cap Fund,19,10,163,0,0,7,13
2,41,BNP Paribas Mid Cap Fund - GrowthMid Cap Fund,Regular,Mid Cap Fund,20,4,255,0,0,15,11
2,40,BNP Paribas Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,Direct Plan,Mid Cap Fund,16,7,262,0,0,9,10
2,266,Sundaram Small Cap Fund - GrowthSmall Cap Fund,Regular,Small Cap Fund,14,10,279,1,0,1,9
2,289,UTI Infrastructure Fund - Direct Plan - GrowthSectoral/Thematic,Direct Plan,Sectoral/Thematic,2,7,197,0,0,19,7
2,275,Tata Short Term Bond Fund - Direct Plan - GrowthShort Duration Fund,Direct Plan,Short Duration Fund,17,11,179,0,1,4,1
2,300,UTI Short Term Income Fund - Institutional - GrowthShort Duration Fund,Regular,Short Duration Fund,3,8,203,0,0,20,15
